onset,name
0,baseline
5.000000e-01,baseline
1,baseline
1.500000e+00,baseline
2,baseline
2.500000e+00,baseline
3,baseline
3.500000e+00,baseline
4,baseline
4.500000e+00,baseline
5,baseline
5.500000e+00,baseline
6,house-5.jpg
6.500000e+00,house-73.jpg
7,house-2.jpg
7.500000e+00,house-2.jpg
8,house-63.jpg
8.500000e+00,house-38.jpg
9,house-32.jpg
9.500000e+00,house-46.jpg
10,house-45.jpg
1.050000e+01,house-62.jpg
11,house-71.jpg
1.150000e+01,house-17.jpg
12,word-68.jpg
1.250000e+01,word-31.jpg
13,word-42.jpg
1.350000e+01,word-53.jpg
14,word-5.jpg
1.450000e+01,word-74.jpg
15,word-29.jpg
1.550000e+01,word-65.jpg
16,word-60.jpg
1.650000e+01,word-60.jpg
17,word-54.jpg
1.750000e+01,word-25.jpg
18,food-49.jpg
1.850000e+01,food-30.jpg
19,food-29.jpg
1.950000e+01,food-80.jpg
20,food-45.jpg
2.050000e+01,food-11.jpg
21,food-74.jpg
2.150000e+01,food-78.jpg
22,food-51.jpg
2.250000e+01,food-66.jpg
23,food-33.jpg
2.350000e+01,food-52.jpg
24,adult-68.jpg
2.450000e+01,adult-34.jpg
25,adult-21.jpg
2.550000e+01,adult-66.jpg
26,adult-45.jpg
2.650000e+01,adult-27.jpg
27,adult-71.jpg
2.750000e+01,adult-48.jpg
28,adult-8.jpg
2.850000e+01,adult-41.jpg
29,adult-46.jpg
2.950000e+01,adult-14.jpg
30,baseline
3.050000e+01,baseline
31,baseline
3.150000e+01,baseline
32,baseline
3.250000e+01,baseline
33,baseline
3.350000e+01,baseline
34,baseline
3.450000e+01,baseline
35,baseline
3.550000e+01,baseline
36,word-64.jpg
3.650000e+01,word-34.jpg
37,word-22.jpg
3.750000e+01,word-7.jpg
38,word-33.jpg
3.850000e+01,word-54.jpg
39,word-60.jpg
3.950000e+01,word-20.jpg
40,word-36.jpg
4.050000e+01,word-36.jpg
41,word-65.jpg
4.150000e+01,word-70.jpg
42,baseline
4.250000e+01,baseline
43,baseline
4.350000e+01,baseline
44,baseline
4.450000e+01,baseline
45,baseline
4.550000e+01,baseline
46,baseline
4.650000e+01,baseline
47,baseline
4.750000e+01,baseline
48,adult-40.jpg
4.850000e+01,adult-40.jpg
49,adult-13.jpg
4.950000e+01,adult-12.jpg
50,adult-45.jpg
5.050000e+01,adult-55.jpg
51,adult-59.jpg
5.150000e+01,adult-31.jpg
52,adult-56.jpg
5.250000e+01,adult-28.jpg
53,adult-23.jpg
5.350000e+01,adult-35.jpg
54,word-45.jpg
5.450000e+01,word-55.jpg
55,word-2.jpg
5.550000e+01,word-37.jpg
56,word-21.jpg
5.650000e+01,word-42.jpg
57,word-19.jpg
5.750000e+01,word-69.jpg
58,word-76.jpg
5.850000e+01,word-3.jpg
59,word-77.jpg
5.950000e+01,word-1.jpg
60,body-50.jpg
6.050000e+01,body-7.jpg
61,body-33.jpg
6.150000e+01,body-56.jpg
62,body-2.jpg
6.250000e+01,body-2.jpg
63,body-36.jpg
6.350000e+01,body-26.jpg
64,body-49.jpg
6.450000e+01,body-64.jpg
65,body-57.jpg
6.550000e+01,body-15.jpg
66,adult-60.jpg
6.650000e+01,adult-30.jpg
67,adult-17.jpg
6.750000e+01,adult-29.jpg
68,adult-33.jpg
6.850000e+01,adult-39.jpg
69,adult-7.jpg
6.950000e+01,adult-32.jpg
70,adult-75.jpg
7.050000e+01,adult-54.jpg
71,adult-20.jpg
7.150000e+01,adult-58.jpg
72,house-35.jpg
7.250000e+01,house-79.jpg
73,house-49.jpg
7.350000e+01,house-12.jpg
74,house-9.jpg
7.450000e+01,house-59.jpg
75,house-77.jpg
7.550000e+01,house-17.jpg
76,house-24.jpg
7.650000e+01,house-51.jpg
77,house-51.jpg
7.750000e+01,house-58.jpg
78,house-28.jpg
7.850000e+01,house-63.jpg
79,house-48.jpg
7.950000e+01,house-53.jpg
80,house-54.jpg
8.050000e+01,house-54.jpg
81,house-49.jpg
8.150000e+01,house-71.jpg
82,house-34.jpg
8.250000e+01,house-73.jpg
83,house-31.jpg
8.350000e+01,house-27.jpg
84,baseline
8.450000e+01,baseline
85,baseline
8.550000e+01,baseline
86,baseline
8.650000e+01,baseline
87,baseline
8.750000e+01,baseline
88,baseline
8.850000e+01,baseline
89,baseline
8.950000e+01,baseline
90,body-27.jpg
9.050000e+01,body-55.jpg
91,body-63.jpg
9.150000e+01,body-58.jpg
92,body-56.jpg
9.250000e+01,body-50.jpg
93,body-1.jpg
9.350000e+01,body-45.jpg
94,body-22.jpg
9.450000e+01,body-22.jpg
95,body-26.jpg
9.550000e+01,body-71.jpg
96,food-32.jpg
9.650000e+01,food-54.jpg
97,food-34.jpg
9.750000e+01,food-72.jpg
98,food-19.jpg
9.850000e+01,food-2.jpg
99,food-41.jpg
9.950000e+01,food-10.jpg
100,food-62.jpg
1.005000e+02,food-74.jpg
101,food-22.jpg
1.015000e+02,food-60.jpg
102,baseline
1.025000e+02,baseline
103,baseline
1.035000e+02,baseline
104,baseline
1.045000e+02,baseline
105,baseline
1.055000e+02,baseline
106,baseline
1.065000e+02,baseline
107,baseline
1.075000e+02,baseline
108,food-8.jpg
1.085000e+02,food-63.jpg
109,food-50.jpg
1.095000e+02,food-32.jpg
110,food-76.jpg
1.105000e+02,food-30.jpg
111,food-15.jpg
1.115000e+02,food-42.jpg
112,food-40.jpg
1.125000e+02,food-78.jpg
113,food-9.jpg
1.135000e+02,food-48.jpg
114,body-14.jpg
1.145000e+02,body-68.jpg
115,body-72.jpg
1.155000e+02,body-43.jpg
116,body-35.jpg
1.165000e+02,body-40.jpg
117,body-40.jpg
1.175000e+02,body-46.jpg
118,body-11.jpg
1.185000e+02,body-79.jpg
119,body-76.jpg
1.195000e+02,body-10.jpg
120,word-44.jpg
1.205000e+02,word-75.jpg
121,word-35.jpg
1.215000e+02,word-40.jpg
122,word-16.jpg
1.225000e+02,word-16.jpg
123,word-22.jpg
1.235000e+02,word-13.jpg
124,word-11.jpg
1.245000e+02,word-5.jpg
125,word-61.jpg
1.255000e+02,word-57.jpg
126,house-75.jpg
1.265000e+02,house-29.jpg
127,house-12.jpg
1.275000e+02,house-39.jpg
128,house-76.jpg
1.285000e+02,house-19.jpg
129,house-47.jpg
1.295000e+02,house-44.jpg
130,house-46.jpg
1.305000e+02,house-11.jpg
131,house-3.jpg
1.315000e+02,house-57.jpg
132,food-75.jpg
1.325000e+02,food-75.jpg
133,food-13.jpg
1.335000e+02,food-71.jpg
134,food-53.jpg
1.345000e+02,food-68.jpg
135,food-24.jpg
1.355000e+02,food-66.jpg
136,food-12.jpg
1.365000e+02,food-45.jpg
137,food-65.jpg
1.375000e+02,food-55.jpg
138,word-58.jpg
1.385000e+02,word-66.jpg
139,word-27.jpg
1.395000e+02,word-8.jpg
140,word-67.jpg
1.405000e+02,word-31.jpg
141,word-31.jpg
1.415000e+02,word-52.jpg
142,word-38.jpg
1.425000e+02,word-29.jpg
143,word-18.jpg
1.435000e+02,word-64.jpg
144,word-50.jpg
1.445000e+02,word-59.jpg
145,word-9.jpg
1.455000e+02,word-73.jpg
146,word-68.jpg
1.465000e+02,word-12.jpg
147,word-6.jpg
1.475000e+02,word-25.jpg
148,word-47.jpg
1.485000e+02,word-63.jpg
149,word-79.jpg
1.495000e+02,word-28.jpg
150,adult-79.jpg
1.505000e+02,adult-52.jpg
151,adult-12.jpg
1.515000e+02,adult-57.jpg
152,adult-80.jpg
1.525000e+02,adult-34.jpg
153,adult-40.jpg
1.535000e+02,adult-71.jpg
154,adult-38.jpg
1.545000e+02,adult-41.jpg
155,adult-26.jpg
1.555000e+02,adult-61.jpg
156,body-73.jpg
1.565000e+02,body-54.jpg
157,body-7.jpg
1.575000e+02,body-58.jpg
158,body-62.jpg
1.585000e+02,body-59.jpg
159,body-49.jpg
1.595000e+02,body-13.jpg
160,body-64.jpg
1.605000e+02,body-64.jpg
161,body-44.jpg
1.615000e+02,body-52.jpg
162,body-36.jpg
1.625000e+02,body-20.jpg
163,body-38.jpg
1.635000e+02,body-25.jpg
164,body-4.jpg
1.645000e+02,body-57.jpg
165,body-27.jpg
1.655000e+02,body-75.jpg
166,body-23.jpg
1.665000e+02,body-65.jpg
167,body-65.jpg
1.675000e+02,body-21.jpg
168,house-60.jpg
1.685000e+02,house-23.jpg
169,house-6.jpg
1.695000e+02,house-6.jpg
170,house-40.jpg
1.705000e+02,house-2.jpg
171,house-45.jpg
1.715000e+02,house-62.jpg
172,house-35.jpg
1.725000e+02,house-66.jpg
173,house-13.jpg
1.735000e+02,house-80.jpg
174,body-30.jpg
1.745000e+02,body-80.jpg
175,body-80.jpg
1.755000e+02,body-33.jpg
176,body-63.jpg
1.765000e+02,body-24.jpg
177,body-32.jpg
1.775000e+02,body-16.jpg
178,body-47.jpg
1.785000e+02,body-31.jpg
179,body-55.jpg
1.795000e+02,body-41.jpg
180,baseline
1.805000e+02,baseline
181,baseline
1.815000e+02,baseline
182,baseline
1.825000e+02,baseline
183,baseline
1.835000e+02,baseline
184,baseline
1.845000e+02,baseline
185,baseline
1.855000e+02,baseline
186,baseline
1.865000e+02,baseline
187,baseline
1.875000e+02,baseline
188,baseline
1.885000e+02,baseline
189,baseline
1.895000e+02,baseline
190,baseline
1.905000e+02,baseline
191,baseline
1.915000e+02,baseline
192,house-43.jpg
1.925000e+02,house-32.jpg
193,house-50.jpg
1.935000e+02,house-79.jpg
194,house-68.jpg
1.945000e+02,house-67.jpg
195,house-16.jpg
1.955000e+02,house-8.jpg
196,house-37.jpg
1.965000e+02,house-22.jpg
197,house-36.jpg
1.975000e+02,house-14.jpg
198,adult-65.jpg
1.985000e+02,adult-69.jpg
199,adult-22.jpg
1.995000e+02,adult-43.jpg
200,adult-13.jpg
2.005000e+02,adult-37.jpg
201,adult-49.jpg
2.015000e+02,adult-24.jpg
202,adult-73.jpg
2.025000e+02,adult-15.jpg
203,adult-46.jpg
2.035000e+02,adult-27.jpg
204,adult-77.jpg
2.045000e+02,adult-77.jpg
205,adult-44.jpg
2.055000e+02,adult-21.jpg
206,adult-78.jpg
2.065000e+02,adult-48.jpg
207,adult-76.jpg
2.075000e+02,adult-63.jpg
208,adult-9.jpg
2.085000e+02,adult-64.jpg
209,adult-8.jpg
2.095000e+02,adult-6.jpg
210,food-11.jpg
2.105000e+02,food-33.jpg
211,food-26.jpg
2.115000e+02,food-35.jpg
212,food-35.jpg
2.125000e+02,food-28.jpg
213,food-79.jpg
2.135000e+02,food-14.jpg
214,food-51.jpg
2.145000e+02,food-34.jpg
215,food-56.jpg
2.155000e+02,food-29.jpg
216,food-77.jpg
2.165000e+02,food-73.jpg
217,food-43.jpg
2.175000e+02,food-6.jpg
218,food-27.jpg
2.185000e+02,food-31.jpg
219,food-18.jpg
2.195000e+02,food-69.jpg
220,food-7.jpg
2.205000e+02,food-44.jpg
221,food-64.jpg
2.215000e+02,food-46.jpg
222,baseline
2.225000e+02,baseline
223,baseline
2.235000e+02,baseline
224,baseline
2.245000e+02,baseline
225,baseline
2.255000e+02,baseline
226,baseline
2.265000e+02,baseline
227,baseline
2.275000e+02,baseline
